year;country;house;party_long;party_short;seats;government;colour
2019;Kosovo;Parlament;;LVV;31;1;#e31a1c
2019;Kosovo;Parlament;;LDK;30;0;#a6cee3
2019;Kosovo;Parlament;;PDK;25;0;#1f78b4
2019;Kosovo;Parlament;;AAK-PSD;14;0;#fb9a99
2019;Kosovo;Parlament;;MINORITETET;20;0;#fdbf6f
